siteid,year,month,visits,month_nf_var,notes,"FLAG  (0=nf, 1=f, 2=unsure, 3=nodata)",UNIT_NAME,d2p
NAT_002,2019,10,648384,NA,NA,0,Lincoln Memorial,2019-10-15
NAT_002,2019,11,593472,NA,NA,0,Lincoln Memorial,2019-11-15
NAT_002,2019,12,451968,NA,"12/25/2019 Christmas. No rangers on duty, but memorial open to visitors.",2,Lincoln Memorial,2019-12-15
NAT_003,2018,1,257366,NA,NA,0,Grand Canyon National Park,2018-01-15
NAT_003,2018,2,265949,NA,NA,0,Grand Canyon National Park,2018-02-15
NAT_003,2018,3,503284,NA,NA,0,Grand Canyon National Park,2018-03-15
NAT_003,2018,4,549416,NA,NA,0,Grand Canyon National Park,2018-04-15
NAT_003,2018,5,637703,NA,Estimated numbers for North Rim Campground.,1,Grand Canyon National Park,2018-05-15
NAT_003,2018,6,673474,NA,Traffic count at South Entrance estimated because of broken counters caused by road construction.,1,Grand Canyon National Park,2018-06-15
NAT_003,2018,7,799765,NA,South Entrance traffic count estimated due to counter being out of commission due to road construction.,1,Grand Canyon National Park,2018-07-15
NAT_003,2018,8,744826,NA,South Entrance traffic count estimated due to counter being out of commission due to road construction.,1,Grand Canyon National Park,2018-08-15
NAT_003,2018,9,615783,NA,South Entrance traffic count is estimated due to counters being down due to road construction.,1,Grand Canyon National Park,2018-09-15
NAT_003,2018,10,555094,NA,South Entrance and North Rim traffic is estimated due to traffic counters being down.,1,Grand Canyon National Park,2018-10-15
NAT_003,2018,11,408794,NA,South Rim traffic count estimated due to road construction causing traffic counter to be inoperable during the month of November.,1,Grand Canyon National Park,2018-11-15
NAT_003,2018,12,369041,NA,"
Traffic data for South Entrance is estimated. Traffic counter was inoperable from December 1-7 due to new counter installation. Estimated data generated by taking daily average from December 8-31.

Non-reportable, non-recreation, and bus numbers are estimated due to partial government shutdown. The park was open, but measured data was not collected. Estimates were produced using December 2018's most solid piece of data, the Desert View traffic counter. The counter showed a 3% decrease in traffic compared to December 2017. This was applied across December 2017 stats where needed to produce the December 2018 stats.

Mather Campground numbers are estimated due to partial government shutdown. Estimate produced from average number of nights/campers from December 1-21.",1,Grand Canyon National Park,2018-12-15
NAT_003,2019,1,225056,NA,"
Non-reportable, non-recreation, and bus numbers are estimated due to partial government shutdown. The park was open, but measured data was not collected for the entire month. Estimates were produced using January 2019's most solid pieces of data, the South Entrance and Desert View traffic counters. The counter showed a 13% decrease in traffic at South Entrance and a 10% decrease in traffic at Desert View compared to January 2018. This decrease was applied across South District and Desert View January 2018 stats where needed to produce the January 2019 stats.

Mather Campground numbers are estimated due to partial government shutdown. Estimate produced from average number of nights/campers from January 26-31, 2019.",1,Grand Canyon National Park,2019-01-15
NAT_003,2019,2,213050,NA,NA,0,Grand Canyon National Park,2019-02-15
NAT_003,2019,3,451228,NA,NA,0,Grand Canyon National Park,2019-03-15
NAT_003,2019,4,562265,NA,NA,0,Grand Canyon National Park,2019-04-15
NAT_003,2019,5,618598,NA,"The following needs to be confirmed
Winter Users at North Rim C.G.
Number of Group Campers at N.R. and Mather",2,Grand Canyon National Park,2019-05-15
NAT_003,2019,6,643821,NA,NA,0,Grand Canyon National Park,2019-06-15
NAT_003,2019,7,756860,NA,NA,0,Grand Canyon National Park,2019-07-15
NAT_003,2019,8,700896,NA,NA,0,Grand Canyon National Park,2019-08-15
NAT_003,2019,9,578852,NA,NA,0,Grand Canyon National Park,2019-09-15
NAT_003,2019,10,551558,NA,NA,0,Grand Canyon National Park,2019-10-15
NAT_003,2019,11,347847,NA,"A very impressive Thanksgiving snow storm created a park wide power failure from 3 AM on November 27th (Friday) to 1:45 AM on November 28th (Saturday). The City of Tusayan, located just outside our main gate, was also without power and declared a state of emergency. A number of state highways were closed as well as large portions of interstate 40 from the night of November 26th thru the morning of November 29. The two days, November 27 & 28, following Thanksgiving tend to be two of the busiest days of the year. But this year it was a bust.",2,Grand Canyon National Park,2019-11-15
NAT_003,2019,12,324380,NA,NA,0,Grand Canyon National Park,2019-12-15
NAT_004,2018,1,139851,NA,1/20-22/2018 Government shutdown. No Park Rangers on duty.,2,World War II Memorial,2018-01-15
NAT_004,2018,2,145195,NA,NA,0,World War II Memorial,2018-02-15
NAT_004,2018,3,383243,NA,"03/02/18 - Government closed in DC per OPM due to inclement weather, so no Park Rangers on duty.

03/21/18 - Government closed in DC per OPM due to inclement weather, so no Park Rangers on duty.",2,World War II Memorial,2018-03-15
NAT_004,2018,4,624149,NA,NA,0,World War II Memorial,2018-04-15
NAT_004,2018,5,611477,NA,NA,0,World War II Memorial,2018-05-15
NAT_004,2018,6,518336,NA,NA,0,World War II Memorial,2018-06-15
NAT_004,2018,7,494677,NA,NA,0,World War II Memorial,2018-07-15
NAT_004,2018,8,498208,NA,NA,0,World War II Memorial,2018-08-15
NAT_004,2018,9,386955,NA,NA,0,World War II Memorial,2018-09-15
NAT_004,2018,10,410635,NA,NA,0,World War II Memorial,2018-10-15
NAT_004,2018,11,250219,NA,NA,0,World War II Memorial,2018-11-15
NAT_004,2018,12,189920,NA,"12/22/2018 - 12/31/2018 Partial government shutdown. No rangers on duty, but memorials remained open.",2,World War II Memorial,2018-12-15
NAT_004,2019,1,104224,NA,"1/1/2019-1/26/2019 Partial government shutdown. No rangers on duty, but memorials remained open.",2,World War II Memorial,2019-01-15
NAT_004,2019,2,137856,NA,"2/20/2019 Federal government closed due to inclement weather, but memorials remained open.",2,World War II Memorial,2019-02-15
NAT_004,2019,3,341941,NA,NA,0,World War II Memorial,2019-03-15
NAT_004,2019,4,624907,NA,NA,0,World War II Memorial,2019-04-15
NAT_004,2019,5,664853,NA,NA,0,World War II Memorial,2019-05-15
NAT_004,2019,6,611893,NA,NA,0,World War II Memorial,2019-06-15
NAT_004,2019,7,513557,NA,NA,0,World War II Memorial,2019-07-15
NAT_004,2019,8,476704,NA,NA,0,World War II Memorial,2019-08-15
NAT_004,2019,9,417515,NA,NA,0,World War II Memorial,2019-09-15
NAT_004,2019,10,395573,NA,NA,0,World War II Memorial,2019-10-15
NAT_004,2019,11,324405,NA,NA,0,World War II Memorial,2019-11-15
NAT_004,2019,12,217899,NA,"12/25/2019 Christmas. No rangers on duty, but memorial open to visitors.",2,World War II Memorial,2019-12-15
NAT_005,2018,1,111422,NA,NA,0,Rocky Mountain National Park,2018-01-15
NAT_005,2018,2,84245,NA,NA,0,Rocky Mountain National Park,2018-02-15
NAT_005,2018,3,156434,NA,Grand Lake Entrance is an estimate.,1,Rocky Mountain National Park,2018-03-15
NAT_005,2018,4,151975,NA,NA,0,Rocky Mountain National Park,2018-04-15
NAT_005,2018,5,305993,NA,NA,0,Rocky Mountain National Park,2018-05-15
NAT_005,2018,6,720822,NA,The counter for Longs Peak Road was broken in June; an estimation based on a five-year average was used,1,Rocky Mountain National Park,2018-06-15
NAT_005,2018,7,931929,NA,NA,0,Rocky Mountain National Park,2018-07-15
NAT_005,2018,8,798306,NA,NA,0,Rocky Mountain National Park,2018-08-15
NAT_005,2018,9,784480,NA,NA,0,Rocky Mountain National Park,2018-09-15
NAT_005,2018,10,312757,NA,NA,0,Rocky Mountain National Park,2018-10-15
NAT_005,2018,11,125349,NA,Wild Basin Entrance and Longs Peak Entrance are estimates based on 5-year averages.,1,Rocky Mountain National Park,2018-11-15
NAT_005,2018,12,106781,NA,"Due to road conditions from snowfall late Saturday, December 23 and blowing and drifting snow and ice combined with the inability to snowplow, sand or otherwise maintain the roads, gates were closed on December 24 past the Beaver Meadows Visitor Center on US 36, past the Fall River Entrance on US 34, past the Wild Basin Entrance on the Wild Basin Road and at the Grand Lake Entrance on US 34.  These entrances experienced walk-in visitors during the closure. The park is estimating an average parkwide of 500 walk-in visitors daily. For December this is 8 days (Monday, Dec 24, through Mon, Dec 31) x 500/day = 4000 walk-ins, and this estimate is added to the Beaver Meadows Entrance December count.",1,Rocky Mountain National Park,2018-12-15
NAT_005,2019,1,118152,NA,"•	For the time period in January that roads were not accessible by vehicles, the park is estimating an average parkwide of 200 walk-in visitors daily. For January this is 13 days (Tuesday, January 1, through Sunday, January 13) x 200/day = 2600 walk-ins, and this estimate is added to the Beaver Meadows Entrance January count.",1,Rocky Mountain National Park,2019-01-15
NAT_005,2019,2,99873,NA,NA,0,Rocky Mountain National Park,2019-02-15
NAT_005,2019,3,146414,NA,Lily Lake is a 5-year average.,1,Rocky Mountain National Park,2019-03-15
NAT_005,2019,4,160259,NA,NA,0,Rocky Mountain National Park,2019-04-15
NAT_005,2019,5,280351,NA,NA,0,Rocky Mountain National Park,2019-05-15
NAT_005,2019,6,698224,NA,NA,0,Rocky Mountain National Park,2019-06-15
NAT_005,2019,7,973992,NA,NA,0,Rocky Mountain National Park,2019-07-15
NAT_005,2019,8,830039,NA,NA,0,Rocky Mountain National Park,2019-08-15
NAT_005,2019,9,752320,NA,NA,0,Rocky Mountain National Park,2019-09-15
NAT_005,2019,10,374003,NA,"RMNP has new cash registers at all entrances, and these new machines do not yet produce reports like the previous ones did, so the number of buses and passengers at entrances are based on 5-year averages.",1,Rocky Mountain National Park,2019-10-15
NAT_005,2019,11,123376,NA,NA,0,Rocky Mountain National Park,2019-11-15
NAT_005,2019,12,113050,NA,"The number of buses is a total for all entrances; a breakout of entrances is not available. The number of bus passengers is an estimate; the actual number is not available due to complications with the new cash register system. 
A year ago, the U.S. Government experienced a shutdown from 10 pm MST Friday, December 21, 2018, through 10 pm MST Friday, January 25, 2019. In December during the shutdown, RMNP experienced winter weather conditions and an inability to snowplow and grade main park roads, so gates were closed Dec 24-31, 2018. The park did estimate walk-in and minor entrance visitation during this time.",1,Rocky Mountain National Park,2019-12-15
NAT_006,2018,1,126123,NA,1/20-22/2018  Government shutdown. No Park Rangers on duty.,2,Vietnam Veterans Memorial,2018-01-15
NAT_006,2018,2,159563,NA,NA,0,Vietnam Veterans Memorial,2018-02-15
NAT_006,2018,3,401760,NA,"03/02/18 - Government closed in DC per OPM due to inclement weather, so no Park Rangers on duty.

03/21/18 - Government closed in DC per OPM due to inclement weather, so no Park Rangers on duty.",2,Vietnam Veterans Memorial,2018-03-15
NAT_006,2018,4,515563,NA,NA,0,Vietnam Veterans Memorial,2018-04-15
NAT_006,2018,5,755680,NA,NA,0,Vietnam Veterans Memorial,2018-05-15
NAT_006,2018,6,554485,NA,NA,0,Vietnam Veterans Memorial,2018-06-15
NAT_006,2018,7,528523,NA,NA,0,Vietnam Veterans Memorial,2018-07-15
NAT_006,2018,8,443488,NA,NA,0,Vietnam Veterans Memorial,2018-08-15
NAT_006,2018,9,334133,NA,NA,0,Vietnam Veterans Memorial,2018-09-15
NAT_006,2018,10,455008,NA,NA,0,Vietnam Veterans Memorial,2018-10-15
NAT_006,2018,11,272907,NA,NA,0,Vietnam Veterans Memorial,2018-11-15
NAT_006,2018,12,171915,NA,"12/22/2018 - 12/31/2018  Partial government shutdown. No rangers on duty, but memorials remained open.",2,Vietnam Veterans Memorial,2018-12-15
NAT_006,2019,1,113056,NA,"1/1/2019-1/26/2019  Partial government shutdown. No rangers on duty, but memorials remained open.",2,Vietnam Veterans Memorial,2019-01-15
NAT_006,2019,2,141856,NA,"2/20/2019 Federal government closed due to inclement weather, but memorials remained open.",2,Vietnam Veterans Memorial,2019-02-15
NAT_006,2019,3,360480,NA,NA,0,Vietnam Veterans Memorial,2019-03-15
NAT_006,2019,4,567307,NA,NA,0,Vietnam Veterans Memorial,2019-04-15
NAT_006,2019,5,635915,NA,NA,0,Vietnam Veterans Memorial,2019-05-15
NAT_006,2019,6,588043,NA,NA,0,Vietnam Veterans Memorial,2019-06-15
NAT_006,2019,7,442837,NA,NA,0,Vietnam Veterans Memorial,2019-07-15
NAT_006,2019,8,409536,NA,NA,0,Vietnam Veterans Memorial,2019-08-15
NAT_006,2019,9,314635,NA,NA,0,Vietnam Veterans Memorial,2019-09-15
NAT_006,2019,10,467861,NA,NA,0,Vietnam Veterans Memorial,2019-10-15
NAT_006,2019,11,338144,NA,NA,0,Vietnam Veterans Memorial,2019-11-15
NAT_006,2019,12,200917,NA,"12/25/2019 Christmas. No rangers on duty, but memorial open to visitors.",2,Vietnam Veterans Memorial,2019-12-15
NAT_007,2018,1,163593,NA,NA,0,Independence National Historical Park,2018-01-15
NAT_007,2018,2,211611,NA,NA,0,Independence National Historical Park,2018-02-15
NAT_007,2018,3,344360,NA,NA,0,Independence National Historical Park,2018-03-15
NAT_007,2018,4,427734,NA,NA,0,Independence National Historical Park,2018-04-15
NAT_007,2018,5,533839,NA,NA,0,Independence National Historical Park,2018-05-15
NAT_007,2018,6,555029,NA,NA,0,Independence National Historical Park,2018-06-15
NAT_007,2018,7,578039,NA,NA,0,Independence National Historical Park,2018-07-15
NAT_007,2018,8,501541,NA,NA,0,Independence National Historical Park,2018-08-15
NAT_007,2018,9,400697,NA,NA,0,Independence National Historical Park,2018-09-15
NAT_007,2018,10,366465,NA,NA,0,Independence National Historical Park,2018-10-15
NAT_007,2018,11,325509,NA,NA,0,Independence National Historical Park,2018-11-15
NAT_007,2018,12,168039,NA,"
Park buildings were closed doe to lapse in appropriations from December 22nd through December 31st.",2,Independence National Historical Park,2018-12-15
NAT_007,2019,1,59682,NA,Park buildings were closed for 25 days due to a lapse in appropriations.,2,Independence National Historical Park,2019-01-15
NAT_007,2019,2,179578,NA,NA,0,Independence National Historical Park,2019-02-15
NAT_007,2019,3,309348,NA,NA,0,Independence National Historical Park,2019-03-15
NAT_007,2019,4,455740,NA,NA,0,Independence National Historical Park,2019-04-15
NAT_007,2019,5,548136,NA,NA,0,Independence National Historical Park,2019-05-15
NAT_007,2019,6,574706,NA,NA,0,Independence National Historical Park,2019-06-15
NAT_007,2019,7,553191,NA,NA,0,Independence National Historical Park,2019-07-15
NAT_007,2019,8,473898,NA,NA,0,Independence National Historical Park,2019-08-15
NAT_007,2019,9,409902,NA,NA,0,Independence National Historical Park,2019-09-15
NAT_007,2019,10,362563,NA,NA,0,Independence National Historical Park,2019-10-15
NAT_007,2019,11,336151,NA,NA,0,Independence National Historical Park,2019-11-15
NAT_007,2019,12,269564,NA,NA,0,Independence National Historical Park,2019-12-15
NAT_008,2018,1,107960,NA,"
Wilderness numbers delayed. Will update when Wilderness numbers are complete. South Campground closed for January. Heavy construction through HWY 9 Springdale. DD

Wilderness numbers updated 2/9/2018 DD",1,Zion National Park,2018-01-15
NAT_008,2018,2,127790,NA,Actual bus passenger count 6873.,2,Zion National Park,2018-02-15
NAT_008,2018,3,373523,NA,"Watchman Group site # is estimated based on historical data. 50% of actual data collected.
Actual bus passengers 9400. 
River pedestrian entrance closed on 3/1/2018 and 3/5/2018 through 3/9/2018 DD
South and east vehicle numbers updated: South entrance from 83834 to 83985. East entrance from 27910 to 28036. Buses were deducted twice. 7/11/2018 DD",1,Zion National Park,2018-03-15
NAT_008,2018,4,483487,NA,"
Actual bus passengers = 15,551 DD
South and east vehicle numbers updated: South entrance from 98946 to 99156. East entrance from 37637 to 37878. Buses were deducted twice. 7/11/2018 DD",2,Zion National Park,2018-04-15
NAT_008,2018,5,500118,NA,"Kolob Canyons Closed for Road work the entire month of May.
Actual bus Passengers 31510 DD
South and east vehicle numbers updated: South entrance from 113128 to 113548. East entrance from 49881 to 50475. Buses were deducted twice. 7/11/2018 DD",2,Zion National Park,2018-05-15
NAT_008,2018,6,541464,NA,"Kolob Canyons area closed due to road construction for month of June. 28,990 actual bus passengers. DD
South and east vehicle numbers updated: South entrance from 106404 to 106721. East entrance from 47755 to 48334. Buses were deducted twice. 7/11/2018 DD",2,Zion National Park,2018-06-15
NAT_008,2018,7,500350,NA,NA,0,Zion National Park,2018-07-15
NAT_008,2018,8,459415,NA,"Actual Bus passengers 18,928",2,Zion National Park,2018-08-15
NAT_008,2018,9,481507,NA,"Actual bus passengers 31,831",2,Zion National Park,2018-09-15
NAT_008,2018,10,377826,NA,"
Actual total bus passengers from East, South, and River:  28,149
River Station Sold one bus Pass.",2,Zion National Park,2018-10-15
NAT_008,2018,11,218799,NA,"Actual bus passengers from east and south entrance are 8,590.",2,Zion National Park,2018-11-15
NAT_008,2018,12,147794,NA,"ALL THESE NUMBERS ARE NOT ACCURATE DUE TO GOV SHUTDOWN FROM DEC. 22 - 31.

BUS PASSENGERS = 2905",1,Zion National Park,2018-12-15
NAT_008,2019,1,98828,NA,"ALL THESE NUMBERS ARE NOT ACCURATE DUE TO GOVERNMENT SHUTDOWN FROM JANUARY 1st - 27th.

BUS PASSENGERS: 1,788

Edit 6/11/2019 Buses reported through Advantage 1/25/19 through 1/31/2019 SE 29 with 1183 passengers. EE, 18 buses with 605 passengers. South entrance, East Entrance vehicle numbers and River entrance numbers updated 6/11/2019. All fee stations were closed from 1/1/2019 to 1/25/2019 due to Gov Shut down. DD",1,Zion National Park,2019-01-15
NAT_008,2019,2,102269,NA,"These numbers are not accurate due to snow day closer.

Pillow counts Changed.

Numbers revised 6/11/2019 DD

Bus Passengers is actual. Station numbers slightly revised.",2,Zion National Park,2019-02-15
NAT_008,2019,3,296316,NA,"
All these numbers are not accurate due to road damaged. East side of the park was closed for 5 days. South campground opened on April 8th.

Numbers updated 6/11/2019 DD",2,Zion National Park,2019-03-15
NAT_008,2019,4,372349,NA,"All these numbers are not accurate due to road damage on SR9. Oversized vehicles were not able to go through the park.

Numbers updated 6/11/2019 DD

Group campers at WCG is estimated. Kolob Canyon numbers were added on 6/11/2019",2,Zion National Park,2019-04-15
NAT_008,2019,5,529553,NA,"Numbers updated 6/11/2019 DD

River entrance added, Kolob Canyons vehicles added, back country and entrance station #s updated. DD",2,Zion National Park,2019-05-15
NAT_008,2019,6,594896,NA,NA,0,Zion National Park,2019-06-15
NAT_008,2019,7,629802,NA,NA,0,Zion National Park,2019-07-15
NAT_008,2019,8,535322,NA,NA,0,Zion National Park,2019-08-15
NAT_008,2019,9,497443,NA,"
East Entrance station's counter wasn't working for couple days, so these numbers are not accurate. They are estimated

*I had to change some numbers.",1,Zion National Park,2019-09-15
NAT_008,2019,10,429604,NA,NA,0,Zion National Park,2019-10-15
NAT_008,2019,11,230180,NA,"South Campground closed on November 1st.
Some numbers are estimated due to major storms we recently had that closed some roads and knocked down traffic counters.



Kolob Canyon numbers updated on 12/6/2019. Counter was INOP for the last week. DD",1,Zion National Park,2019-11-15
NAT_008,2019,12,171706,NA,NA,0,Zion National Park,2019-12-15
NAT_009,2018,1,129432,NA,NA,0,Yosemite National Park,2018-01-15
NAT_009,2018,2,143321,NA,NA,0,Yosemite National Park,2018-02-15
NAT_009,2018,3,170681,NA,NA,0,Yosemite National Park,2018-03-15
NAT_009,2018,4,278349,NA,NA,0,Yosemite National Park,2018-04-15
NAT_009,2018,5,385670,NA,NA,0,Yosemite National Park,2018-05-15
NAT_009,2018,6,543690,NA,NA,0,Yosemite National Park,2018-06-15
NAT_009,2018,7,504230,NA,NA,0,Yosemite National Park,2018-07-15
NAT_009,2018,8,441867,NA,NA,0,Yosemite National Park,2018-08-15
NAT_009,2018,9,524387,NA,NA,0,Yosemite National Park,2018-09-15
NAT_009,2018,10,360776,NA,Traffic counts are down for the month of October due to replacement. Tioga pass station 4809 back on line 10/12.,1,Yosemite National Park,2018-10-15
NAT_009,2018,11,215854,NA,NA,0,Yosemite National Park,2018-11-15
NAT_009,2018,12,311179,NA,NA,0,Yosemite National Park,2018-12-15
NAT_009,2019,1,116746,NA,The entrance stations were not staffed during the GOV shutdown from 1/1 through 1/28. Campgrounds were staffed and reservations honored during the GOV shutdown.,2,Yosemite National Park,2019-01-15
NAT_009,2019,2,111665,NA,NA,0,Yosemite National Park,2019-02-15
NAT_009,2019,3,173610,NA,NA,0,Yosemite National Park,2019-03-15
NAT_009,2019,4,297207,NA,NA,0,Yosemite National Park,2019-04-15
NAT_009,2019,5,393004,NA,NA,0,Yosemite National Park,2019-05-15
NAT_009,2019,6,496625,NA,NA,0,Yosemite National Park,2019-06-15
NAT_009,2019,7,717462,NA,NA,0,Yosemite National Park,2019-07-15
NAT_009,2019,8,703153,NA,NA,0,Yosemite National Park,2019-08-15
NAT_009,2019,9,584664,NA,NA,0,Yosemite National Park,2019-09-15
NAT_009,2019,10,448939,NA,NA,0,Yosemite National Park,2019-10-15
NAT_009,2019,11,230598,NA,NA,0,Yosemite National Park,2019-11-15
NAT_009,2019,12,149188,NA,NA,0,Yosemite National Park,2019-12-15
NAT_010,2018,1,164599,NA,NA,0,Castle Clinton National Monument,2018-01-15
NAT_010,2018,2,198755,NA,NA,0,Castle Clinton National Monument,2018-02-15
NAT_010,2018,3,306439,NA,NA,0,Castle Clinton National Monument,2018-03-15
NAT_010,2018,4,375067,NA,NA,0,Castle Clinton National Monument,2018-04-15
NAT_010,2018,5,453178,NA,NA,0,Castle Clinton National Monument,2018-05-15
NAT_010,2018,6,522350,NA,NA,0,Castle Clinton National Monument,2018-06-15
NAT_010,2018,7,611671,NA,NA,0,Castle Clinton National Monument,2018-07-15
NAT_010,2018,8,555671,NA,NA,0,Castle Clinton National Monument,2018-08-15
NAT_010,2018,9,381947,NA,NA,0,Castle Clinton National Monument,2018-09-15
NAT_010,2018,10,380319,NA,NA,0,Castle Clinton National Monument,2018-10-15
NAT_010,2018,11,283039,NA,NA,0,Castle Clinton National Monument,2018-11-15
NAT_010,2018,12,300529,NA,NA,0,Castle Clinton National Monument,2018-12-15
NAT_010,2019,1,181143,NA,NA,0,Castle Clinton National Monument,2019-01-15
NAT_010,2019,2,193675,NA,NA,0,Castle Clinton National Monument,2019-02-15
NAT_010,2019,3,269440,NA,NA,0,Castle Clinton National Monument,2019-03-15
NAT_010,2019,4,412122,NA,NA,0,Castle Clinton National Monument,2019-04-15
NAT_010,2019,5,413828,NA,NA,0,Castle Clinton National Monument,2019-05-15
NAT_010,2019,6,468687,NA,NA,0,Castle Clinton National Monument,2019-06-15
NAT_010,2019,7,558814,NA,NA,0,Castle Clinton National Monument,2019-07-15
NAT_010,2019,8,550729,NA,NA,0,Castle Clinton National Monument,2019-08-15
NAT_010,2019,9,372332,NA,NA,0,Castle Clinton National Monument,2019-09-15
NAT_010,2019,10,375893,NA,NA,0,Castle Clinton National Monument,2019-10-15
NAT_010,2019,11,271108,NA,NA,0,Castle Clinton National Monument,2019-11-15
NAT_010,2019,12,293263,NA,NA,0,Castle Clinton National Monument,2019-12-15
NAT_011,2018,1,139451,NA,Monthly visitation numbers for the month of January any questions or concerns feel free to contact me.,2,Statue Of Liberty National Monument,2018-01-15
NAT_011,2018,2,169275,NA,"
I submitted the visitation numbers for Ellis Island and Statue of Liberty.
Any questions or concerns feel free to contact me.",2,Statue Of Liberty National Monument,2018-02-15
NAT_011,2018,3,283884,NA,Visitation numbers for Statue and Ellis island for the month of March,2,Statue Of Liberty National Monument,2018-03-15
NAT_011,2018,4,358973,NA,April monthly numbers. Any questions feel free to contact me,2,Statue Of Liberty National Monument,2018-04-15
NAT_011,2018,5,448190,NA,Monthly visitation numbers for Ellis Island and Liberty Island for the month of May 2018,2,Statue Of Liberty National Monument,2018-05-15
NAT_011,2018,6,528171,NA,NA,0,Statue Of Liberty National Monument,2018-06-15
NAT_011,2018,7,614755,NA,"
Visitation numbers for the month of July 2018.
Any questions or concerns please let me know.",2,Statue Of Liberty National Monument,2018-07-15
NAT_011,2018,8,534864,NA,"I'm sending the visitation number for August 2018.
Any questions feel free to contact me",2,Statue Of Liberty National Monument,2018-08-15
NAT_011,2018,9,365847,NA,"Monthly numbers for September for Ellis Island and Statue of Liberty.
Any questions feel free to contact me",2,Statue Of Liberty National Monument,2018-09-15
